stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_type,route_color
at:49:1910:0:6,Absberggasse,48.17625118,16.38990609,D,0,C00808
at:49:1910:0:2,Absberggasse,48.1759337,16.39131645,D,0,C00808
at:49:1910:0:7,Absberggasse,48.17638297,16.39109187,D,0,C00808
at:49:1910:0:2,Absberggasse,48.1759337,16.39131645,N6,3,0A295D
at:49:1910:0:1,Absberggasse,48.1756222,16.39047203,N6,3,0A295D
at:49:2:0:1,Achengasse,48.28446006,16.44899727,32A,3,0A295D
at:49:2:0:2,Achengasse,48.28435246,16.45091967,32A,3,0A295D
at:49:3:0:1,Ada-Christen-Gasse,48.15278166,16.38602537,19A,3,0A295D
at:49:1511:0:2,Adalbert-Stifter-Straße/Jägerstraße,48.24090602,16.37131995,37A,3,0A295D
at:49:1511:0:1,Adalbert-Stifter-Straße/Jägerstraße,48.24061885,16.37127503,37A,3,0A295D
at:49:4:0:1,Adam-Betz-Gasse,48.2155507,16.53545113,98A,3,0A295D
at:49:5:0:2,Adamovichgasse,48.14255045,16.33833381,67A,3,0A295D
at:49:5:0:1,Adamovichgasse,48.14277824,16.33893568,67A,3,0A295D
at:49:5:0:2,Adamovichgasse,48.14255045,16.33833381,67B,3,0A295D
at:49:1858:0:5,Aderklaaer Straße,48.26495713,16.45265341,28A,3,0A295D
at:49:1858:0:8,Aderklaaer Straße,48.26483155,16.45269833,28A,3,0A295D
at:49:1858:0:1,Aderklaaer Straße,48.26342025,16.45167425,U1,1,E3000F
at:49:1858:0:2,Aderklaaer Straße,48.26342025,16.45156645,U1,1,E3000F
at:49:6:0:2,Adolf-Loos-Gasse,48.2773521,16.4540997,29B,3,0A295D
at:49:6:0:1,Adolf-Loos-Gasse,48.2774358,16.4543153,29B,3,0A295D
at:49:6:0:2,Adolf-Loos-Gasse,48.2773521,16.4540997,N25,3,0A295D
at:49:7:0:1,Adolf-Unger-Gasse,48.14890998,16.38570198,19A,3,0A295D
at:49:8:0:1,Afritschgasse,48.24673292,16.45174612,22A,3,0A295D
at:49:8:0:2,Afritschgasse,48.24740291,16.4517012,22A,3,0A295D
at:49:8:0:1,Afritschgasse,48.24673292,16.45174612,N23,3,0A295D
at:49:8:0:2,Afritschgasse,48.24740291,16.4517012,N23,3,0A295D
at:49:8:0:1,Afritschgasse,48.24673292,16.45174612,N24,3,NA
at:49:9:0:1,Agavenweg,48.25105181,16.5063547,24A,3,0A295D
at:49:9:0:2,Agavenweg,48.25114154,16.50658826,24A,3,0A295D
at:49:9:0:1,Agavenweg,48.25105181,16.5063547,89A,3,0A295D
at:49:9:0:2,Agavenweg,48.25114154,16.50658826,89A,3,0A295D
at:49:9:0:1,Agavenweg,48.25105181,16.5063547,N24,3,NA
at:49:9:0:2,Agavenweg,48.25114154,16.50658826,N24,3,NA
at:49:1378:0:1,Agrarweg,48.2497837,16.52530017,24A,3,0A295D
at:49:1378:0:2,Agrarweg,48.24982557,16.52572238,24A,3,0A295D
at:49:1378:0:1,Agrarweg,48.2497837,16.52530017,89A,3,0A295D
at:49:1378:0:2,Agrarweg,48.24982557,16.52572238,89A,3,0A295D
at:49:1378:0:1,Agrarweg,48.2497837,16.52530017,N24,3,NA
at:49:1378:0:2,Agrarweg,48.24982557,16.52572238,N24,3,NA
at:49:28:0:1,Aichholzgasse,48.18034242,16.32459857,9A,3,0A295D
at:49:28:0:2,Aichholzgasse,48.18028851,16.32401467,9A,3,0A295D
at:49:11:0:2,Aignerstraße,48.24643381,16.37502999,5A,3,0A295D
at:49:11:0:1,Aignerstraße,48.24623042,16.37486829,5A,3,0A295D
at:49:1592:0:1,Ailecgasse,48.14098592,16.45533039,71B,3,0A295D
at:49:1592:0:2,Ailecgasse,48.14087802,16.45534836,71B,3,0A295D
