x,y
14.733,47.946
14.747,47.946
14.760,47.945
14.773,47.944
14.787,47.944
14.800,47.943
14.813,47.943
14.827,47.942
14.840,47.942
14.853,47.941
14.867,47.940
14.880,47.940
14.893,47.939
14.907,47.939
14.920,47.938
14.934,47.937
14.947,47.937
14.960,47.936
14.974,47.936
14.987,47.935
15.000,47.934
15.014,47.934
15.027,47.933
15.040,47.933
15.054,47.932
15.067,47.931
15.080,47.931
15.094,47.930
15.107,47.929
15.120,47.929
15.134,47.928
15.147,47.928
15.160,47.927
15.174,47.926
15.187,47.926
15.201,47.925
15.214,47.924
15.227,47.924
15.241,47.923
15.254,47.922
15.267,47.922
15.281,47.921
15.294,47.921
15.307,47.920
15.321,47.919
15.334,47.919
15.347,47.918
15.361,47.917
15.374,47.917
15.387,47.916
15.401,47.915
15.414,47.915
15.427,47.914
15.441,47.913
15.454,47.913
15.467,47.912
15.481,47.911
15.494,47.911
15.507,47.910
15.521,47.909
15.534,47.909
15.547,47.908
15.561,47.907
15.574,47.907
15.587,47.906
15.601,47.905
15.614,47.905
15.627,47.904
15.641,47.903
15.654,47.903
15.667,47.902
15.681,47.901
15.694,47.901
15.707,47.900
15.721,47.899
15.734,47.898
15.747,47.898
15.761,47.897
15.774,47.896
15.787,47.896
15.801,47.895
15.814,47.894
15.827,47.894
15.841,47.893
15.854,47.892
15.867,47.891
15.881,47.891
15.894,47.890
15.907,47.889
15.921,47.889
15.934,47.888
15.947,47.887
15.961,47.886
15.974,47.886
15.987,47.885
16.001,47.884
16.014,47.883
16.027,47.883
16.041,47.882
16.054,47.881
16.067,47.880
16.081,47.880
16.094,47.879
16.107,47.878
16.121,47.878
16.134,47.877
16.147,47.876
16.161,47.875
16.174,47.875
16.187,47.874
16.201,47.873
16.214,47.872
16.227,47.872
16.241,47.871
16.254,47.870
16.267,47.869
16.281,47.868
16.294,47.868
16.307,47.867
16.321,47.866
16.334,47.865
16.347,47.865
16.360,47.864
16.374,47.863
16.387,47.862
16.400,47.862
16.414,47.861
16.427,47.860
16.440,47.859
16.454,47.858
16.467,47.858
16.480,47.857
16.494,47.856
16.507,47.855
16.520,47.854
16.534,47.854
16.547,47.853
16.560,47.852
16.574,47.851
16.587,47.850
16.600,47.850
16.613,47.849
16.627,47.848
16.640,47.847
16.653,47.846
16.667,47.846
16.680,47.845
16.693,47.844
16.707,47.843
16.720,47.842
16.733,47.842
16.747,47.841
16.760,47.840
16.773,47.839
16.786,47.838
16.800,47.837
16.813,47.837
16.826,47.836
16.840,47.835
16.853,47.834
16.866,47.833
16.880,47.832
16.893,47.832
16.906,47.831
16.919,47.830
16.933,47.829
16.946,47.828
16.959,47.827
16.973,47.827
16.986,47.826
16.999,47.825
17.013,47.824
17.026,47.823
17.039,47.822
17.052,47.821
17.066,47.821
12.835,48.021
12.848,48.020
12.861,48.020
12.875,48.020
12.888,48.019
12.902,48.019
12.915,48.018
12.928,48.018
12.942,48.018
12.955,48.017
12.968,48.017
12.982,48.017
12.995,48.016
13.009,48.016
13.022,48.016
13.035,48.015
13.049,48.015
13.062,48.014
13.076,48.014
13.089,48.014
13.102,48.013
13.116,48.013
13.129,48.013
13.143,48.012
13.156,48.012
13.169,48.011
13.183,48.011
13.196,48.011
13.209,48.010
13.223,48.010
13.236,48.009
13.250,48.009
13.263,48.009
13.276,48.008
13.290,48.008
13.303,48.007
13.317,48.007
13.330,48.007
13.343,48.006
13.357,48.006
13.370,48.005
13.383,48.005
13.397,48.005
13.410,48.004
13.424,48.004
13.437,48.003
13.450,48.003
13.464,48.003
13.477,48.002
13.491,48.002
13.504,48.001
13.517,48.001
13.531,48.000
13.544,48.000
13.557,48.000
13.571,47.999
13.584,47.999
13.598,47.998
13.611,47.998
13.624,47.997
13.638,47.997
13.651,47.996
13.664,47.996
13.678,47.996
13.691,47.995
13.705,47.995
13.718,47.994
13.731,47.994
13.745,47.993
13.758,47.993
13.771,47.992
13.785,47.992
13.798,47.992
13.812,47.991
13.825,47.991
13.838,47.990
13.852,47.990
13.865,47.989
13.878,47.989
13.892,47.988
13.905,47.988
13.919,47.987
13.932,47.987
13.945,47.986
13.959,47.986
13.972,47.985
13.985,47.985
13.999,47.984
14.012,47.984
14.026,47.983
14.039,47.983
14.052,47.982
14.066,47.982
14.079,47.981
14.092,47.981
14.106,47.980
14.119,47.980
14.133,47.979
14.146,47.979
14.159,47.978
14.173,47.978
14.186,47.977
14.199,47.977
14.213,47.976
14.226,47.976
14.240,47.975
14.253,47.975
14.266,47.974
14.280,47.974
14.293,47.973
14.306,47.973
14.320,47.972
14.333,47.972
14.346,47.971
14.360,47.971
14.373,47.970
14.387,47.970
14.400,47.969
14.413,47.969
14.427,47.968
14.440,47.967
14.453,47.967
14.467,47.966
14.480,47.966
14.494,47.965
14.507,47.965
14.520,47.964
14.534,47.964
14.547,47.963
14.560,47.963
14.574,47.962
14.587,47.961
14.600,47.961
14.614,47.960
14.627,47.960
14.640,47.959
14.654,47.959
14.667,47.958
14.681,47.957
14.694,47.957
14.707,47.956
14.721,47.956
14.734,47.955
14.747,47.955
14.761,47.954
14.774,47.953
14.787,47.953
14.801,47.952
14.814,47.952
14.828,47.951
14.841,47.950
14.854,47.950
14.868,47.949
14.881,47.949
14.894,47.948
14.908,47.948
14.921,47.947
14.934,47.946
14.948,47.946
14.961,47.945
14.974,47.945
14.988,47.944
15.001,47.943
15.015,47.943
15.028,47.942
15.041,47.941
15.055,47.941
15.068,47.940
15.081,47.940
15.095,47.939
15.108,47.938
15.121,47.938
15.135,47.937
15.148,47.937
15.161,47.936
15.175,47.935
15.188,47.935
15.201,47.934
15.215,47.933
15.228,47.933
15.241,47.932
15.255,47.931
15.268,47.931
15.282,47.930
15.295,47.930
15.308,47.929
15.322,47.928
15.335,47.928
15.348,47.927
15.362,47.926
15.375,47.926
15.388,47.925
15.402,47.924
15.415,47.924
15.428,47.923
15.442,47.922
15.455,47.922
15.468,47.921
15.482,47.920
15.495,47.920
15.508,47.919
15.522,47.918
