year,Jun,Jul,Aug,station_id,station_name
1941,14.326666666666668,15.879435483870967,14.937759336099585,105,Wien Hohe Warte
1942,14.115416666666667,15.68508064516129,15.428215767634855,105,Wien Hohe Warte
1943,13.688333333333334,15.956048387096775,17.176763485477178,105,Wien Hohe Warte
1944,14.2975,16.099193548387095,17.596680497925313,105,Wien Hohe Warte
1945,15.96125,17.87701612903226,16.443153526970953,105,Wien Hohe Warte
1946,11.240833333333335,17.838709677419356,16.766804979253113,105,Wien Hohe Warte
1947,16.394583333333333,18.219354838709677,16.98713692946058,105,Wien Hohe Warte
1948,14.48125,15.148790322580647,16.52655601659751,105,Wien Hohe Warte
1949,13.665416666666665,16.884677419354837,15.479668049792531,105,Wien Hohe Warte
1950,16.62125,18.38185483870968,16.49792531120332,105,Wien Hohe Warte
1951,15.055833333333332,16.69233870967742,17.037759336099583,105,Wien Hohe Warte
1952,14.557083333333333,17.211693548387096,17.32572614107884,105,Wien Hohe Warte
1953,15.251249999999999,17.365322580645163,14.896680497925312,105,Wien Hohe Warte
1954,15.933750000000002,14.736290322580643,16.04273858921162,105,Wien Hohe Warte
1955,14.025416666666667,16.643548387096775,15.557676348547718,105,Wien Hohe Warte
1956,13.925833333333333,16.688709677419354,15.813692946058092,105,Wien Hohe Warte
1957,16.098333333333333,17.52983870967742,14.85726141078838,105,Wien Hohe Warte
1958,13.871666666666666,16.768145161290324,16.287551867219918,105,Wien Hohe Warte
1959,14.553333333333333,17.543548387096774,16.130290456431535,105,Wien Hohe Warte
1960,15.16875,15.227822580645162,15.875933609958507,105,Wien Hohe Warte
1961,15.405833333333334,15.01491935483871,15.812448132780084,105,Wien Hohe Warte
1962,12.987083333333333,14.606854838709676,16.68838174273859,105,Wien Hohe Warte
1963,15.524166666666666,17.223790322580644,16.38713692946058,105,Wien Hohe Warte
1964,16.535,16.52782258064516,15.112448132780083,105,Wien Hohe Warte
1965,14.692916666666667,15.496774193548388,14.061410788381743,105,Wien Hohe Warte
1966,14.917916666666667,15.66008064516129,15.290041493775934,105,Wien Hohe Warte
1967,14.004583333333333,17.59717741935484,15.898755186721992,105,Wien Hohe Warte
1968,15.259166666666667,16.370967741935484,15.446473029045643,105,Wien Hohe Warte
1969,14.460416666666665,16.576209677419357,15.34979253112033,105,Wien Hohe Warte
1970,15.855833333333331,16.372177419354838,16.25435684647303,105,Wien Hohe Warte
1971,13.729166666666668,16.719758064516128,17.881742738589214,105,Wien Hohe Warte
1972,15.379166666666666,17.094354838709677,15.663485477178423,105,Wien Hohe Warte
1973,15.049583333333333,16.978225806451615,16.559751037344398,105,Wien Hohe Warte
1974,13.205833333333333,15.758870967741936,17.77261410788382,105,Wien Hohe Warte
1975,14.233333333333333,16.948790322580646,16.62033195020747,105,Wien Hohe Warte
1976,15.48125,17.40241935483871,13.804979253112034,105,Wien Hohe Warte
1977,15.907499999999999,16.467741935483872,15.417842323651453,105,Wien Hohe Warte
1978,13.530416666666667,14.730241935483871,15.172614107883819,105,Wien Hohe Warte
1979,16.569583333333334,15.104435483870967,15.770954356846474,105,Wien Hohe Warte
1980,14.584166666666667,15.683467741935484,16.341908713692945,105,Wien Hohe Warte
1981,15.866666666666667,16.245967741935484,16.926970954356847,105,Wien Hohe Warte
1982,15.69,17.41774193548387,17.267219917012447,105,Wien Hohe Warte
1983,14.741666666666667,19.201209677419353,17.575933609958508,105,Wien Hohe Warte
1984,13.782916666666667,14.975,15.644813278008298,105,Wien Hohe Warte
1985,13.4425,16.661290322580644,16.70746887966805,105,Wien Hohe Warte
1986,14.640833333333335,15.906854838709677,17.063070539419087,105,Wien Hohe Warte
1987,14.745416666666667,17.34717741935484,15.45643153526971,105,Wien Hohe Warte
1988,14.584583333333333,17.162096774193547,16.910788381742737,105,Wien Hohe Warte
1989,13.5775,17.44516129032258,16.82448132780083,105,Wien Hohe Warte
1990,14.650416666666667,16.233870967741936,17.29585062240664,105,Wien Hohe Warte
1991,13.954166666666667,18.256048387096776,17.496265560165973,105,Wien Hohe Warte
1992,16.199166666666667,17.801612903225806,20.334439834024895,105,Wien Hohe Warte
1993,15.289583333333335,16.129032258064516,16.465145228215768,105,Wien Hohe Warte
1994,15.840416666666666,19.037903225806453,18.27966804979253,105,Wien Hohe Warte
1995,14.585416666666667,19.02943548387097,16.837759336099584,105,Wien Hohe Warte
1996,15.397083333333333,15.189112903225807,16.062240663900415,105,Wien Hohe Warte
1997,15.26375,16.485887096774192,16.966804979253112,105,Wien Hohe Warte
1998,16.122916666666665,17.435483870967744,17.39377593360996,105,Wien Hohe Warte
1999,15.245833333333334,18.039516129032258,16.16680497925311,105,Wien Hohe Warte
2000,16.180416666666666,15.98508064516129,17.925311203319502,105,Wien Hohe Warte
2001,14.247916666666667,17.684677419354838,18.259336099585063,105,Wien Hohe Warte
2002,16.739583333333332,18.01491935483871,17.643153526970956,105,Wien Hohe Warte
2003,18.66125,18.04959677419355,19.741908713692947,105,Wien Hohe Warte
2004,15.09625,17.20201612903226,17.312863070539418,105,Wien Hohe Warte
2005,15.737083333333334,17.60524193548387,15.934854771784233,105,Wien Hohe Warte
2006,16.041666666666668,19.886693548387097,15.309128630705395,105,Wien Hohe Warte
2007,17.35625,18.220564516129034,17.387966804979254,105,Wien Hohe Warte
2008,16.963333333333335,17.40806451612903,17.289211618257262,105,Wien Hohe Warte
2009,15.135833333333334,17.78266129032258,18.24688796680498,105,Wien Hohe Warte
2010,16.392083333333332,18.81209677419355,16.843153526970955,105,Wien Hohe Warte
2011,16.72875,16.72056451612903,17.820331950207468,105,Wien Hohe Warte
2012,16.879583333333333,18.54233870967742,18.08423236514523,105,Wien Hohe Warte
2013,15.615833333333333,18.931048387096773,17.903319502074687,105,Wien Hohe Warte
2014,15.757083333333332,18.398387096774194,16.462240663900413,105,Wien Hohe Warte
2015,16.335416666666667,20.25,19.699170124481327,105,Wien Hohe Warte
2016,16.936666666666667,18.822580645161292,17.168879668049794,105,Wien Hohe Warte
2017,18.039583333333333,18.405241935483872,19.15933609958506,105,Wien Hohe Warte
2018,18.145833333333336,19.18991935483871,19.804979253112034,105,Wien Hohe Warte
2019,19.859583333333333,18.80483870967742,18.993775933609957,105,Wien Hohe Warte
2020,15.947916666666666,17.485887096774192,18.740248962655603,105,Wien Hohe Warte
2021,18.08125,18.87741935483871,16.754771784232364,105,Wien Hohe Warte
2022,17.665,18.695967741935483,19.430290456431536,105,Wien Hohe Warte
2023,16.54083333333333,20.018548387096775,18.487136929460583,105,Wien Hohe Warte
2024,17.70916666666667,20.41693548387097,20.342323651452283,105,Wien Hohe Warte
